host_id,host_name,host_since_year,host_since_anniversary,id,neighbourhood_cleansed,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
36701,Leonie,2009,09-Jul,2323819,Bos en Lommer,Amsterdam,North Holland,1055XP,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,79,1,0,1,within a few hours,1,13,100,10,10,10,10,9,10
42212,Miguel,2009,Sep-29,280105,Centrum-West,Amsterdam,North Holland,1013,Netherlands,Apartment,Entire home/apt,4,1,0,2,Real Bed,180,1,65,2,within an hour,0.96,18,99,10,10,10,10,10,9
42212,Miguel,2009,Sep-29,3527892,Centrum-West,Amsterdam,North Holland,1013HE,Netherlands,Loft,Shared room,1,1,1,1,Real Bed,75,1,0,1,within an hour,0.96,2,100,10,10,10,10,10,10
42725,Marco,2009,10-Jan,933385,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,Apartment,Private room,2,1,1,2,Real Bed,82,2,0,2,within a few hours,1,19,98,10,10,10,10,10,10
46431,Jennifer & Michiel,2009,Oct-17,1182306,Zuid,Amsterdam,North Holland,1059,Netherlands,Apartment,Private room,2,1,1,1,Real Bed,59,1,0,1,within a few hours,1,58,95,9,10,9,9,9,9
47517,Geert,2009,Oct-21,3047061,Watergraafsmeer,Amsterdam,,1097 AM,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,99,1,0,7,N/A,N/A,0,,,,,,,
50517,Sanne,2009,11-Jan,4003922,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,Apartment,Entire home/apt,4,1,1,2,Real Bed,190,1,0,1,a few days or more,0.4,0,,,,,,,
56142,Joan,2009,Nov-20,1003865,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 LB,Netherlands,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,2,10,5,within a few hours,1,0,,,,,,,
14589,Rutger,2009,Apr-23,738245,Centrum-West,Amsterdam,North Holland,1015,Netherlands,House,Entire home/apt,2,1,1,1,Real Bed,90,1,0,3,N/A,N/A,8,93,10,9,9,9,10,9
56142,Joan,2009,Nov-20,25428,Centrum-West,Amsterdam,North Holland,1016,Netherlands,Apartment,Entire home/apt,3,1,1,1,Real Bed,100,1,0,14,within a few hours,1,0,,,,,,,
59059,Marius,2009,12-Jan,75583,Slotervaart,Amsterdam,North Holland,1058,Netherlands,Apartment,Private room,4,1.5,1,2,Real Bed,35,1,30,2,within an hour,1,107,99,10,10,10,10,9,10
59297,Jan,2009,12-Feb,15061,Westerpark,Amsterdam,North Holland,1052,Netherlands,Apartment,Private room,4,,1,2,Real Bed,43,1,43,2,within a day,1,58,95,9,9,10,10,9,10
59484,Alex,2009,12-Feb,20168,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,House,Private room,2,1,1,1,Real Bed,50,2,0,1,within an hour,1,25,83,9,9,9,8,10,9
59484,Alex,2009,12-Feb,3903880,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,House,Private room,2,4,1,1,Real Bed,50,1,0,1,within an hour,1,14,86,9,9,9,9,10,9
62341,Jurgen,2009,12-Nov,1030014,Centrum-West,Amsterdam,North Holland,1015 GN,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,69,1,0,3,within an hour,1,13,90,9,8,10,10,10,9
65041,Ym,2009,Dec-22,43980,Zuid,Amsterdam,North Holland,1054,Netherlands,Apartment,Entire home/apt,4,1,1,2,Real Bed,80,4,10,2,within a few hours,0.99,46,77,7,7,9,9,9,8
65041,Ym,2009,Dec-22,85767,Centrum-West,Amsterdam,North Holland,1013 NS,Netherlands,Apartment,Entire home/apt,4,1.5,1,4,Real Bed,80,4,10,2,within a few hours,0.99,49,73,7,7,8,9,9,7
69651,William,2010,01-Nov,5728108,Oostelijk Havengebied - Indische Buurt,Amsterdam,Noord-Holland,1019,Netherlands,House,Private room,2,1,1,1,Real Bed,110,1,0,2,within an hour,1,0,,,,,,,
69651,William,2010,01-Nov,129744,Oostelijk Havengebied - Indische Buurt,WZ,Amsterdam,1019 WZ,Netherlands,House,Entire home/apt,2,2,1,1,Real Bed,350,1,0,2,within an hour,1,0,,,,,,,
70937,Tui,2010,Jan-16,3739250,Centrum-Oost,Amsterdam,North Holland,1018 HL,Netherlands,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,2,10,3,within an hour,1,5,88,9,10,10,9,8,8
74250,Margreet & Arnout,2010,Jan-27,3261215,Centrum-West,Amsterdam,North Holland,1052,Netherlands,Apartment,Private room,2,1,1,1,Real Bed,74,1,0,4,within a few hours,0.8,22,97,10,10,10,10,10,10
77484,Annelies,2010,02-Apr,2820641,Centrum-West,Amsterdam,North Holland,1012 ML,Netherlands,Apartment,Entire home/apt,8,1,2,5,Real Bed,250,4,30,3,within a few hours,1,34,96,10,10,10,10,10,9
77484,Annelies,2010,02-Apr,3302169,Centrum-West,Amsterdam,North Holland,1016 LK,Netherlands,Apartment,Entire home/apt,6,1.5,4,6,Real Bed,200,4,30,3,within a few hours,1,2,90,6,8,7,9,9,9
77484,Annelies,2010,02-Apr,1756765,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 MX,Netherlands,Boat,Entire home/apt,6,1,2,3,Real Bed,180,4,40,3,within a few hours,1,35,94,9,9,10,10,9,9
77484,Annelies,2010,02-Apr,743666,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,Boat,Entire home/apt,6,1,2,4,Real Bed,200,4,40,3,within a few hours,1,72,95,10,9,10,10,10,9
77484,Annelies,2010,02-Apr,468132,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074 EN,Netherlands,Apartment,Entire home/apt,6,2,2,3,Real Bed,160,4,30,3,within a few hours,1,52,89,9,9,10,10,9,9
77484,Annelies,2010,02-Apr,822614,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1073 GG,Netherlands,Apartment,Entire home/apt,6,2,2,3,Real Bed,200,4,30,3,within a few hours,1,32,91,9,9,9,10,10,9
77484,Annelies,2010,02-Apr,2396344,Oud-Oost,Amsterdam,North Holland,1091 DM,Netherlands,Apartment,Entire home/apt,6,1.5,2,5,Real Bed,160,4,30,3,within a few hours,1,25,89,9,9,10,10,8,8
77484,Annelies,2010,02-Apr,5275545,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 NP,Netherlands,Boat,Entire home/apt,4,1,2,3,Real Bed,120,2,30,3,within a few hours,1,2,90,10,9,9,10,10,10
77484,Annelies,2010,02-Apr,857794,Centrum-Oost,Amsterdam,North Holland,1017 RD,Netherlands,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,120,2,30,3,within a few hours,1,45,92,9,9,10,10,9,9
77484,Annelies,2010,02-Apr,5234498,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1052 SJ,Netherlands,Boat,Entire home/apt,4,1,1,2,Real Bed,120,2,30,3,within a few hours,1,0,,,,,,,
77484,Annelies,2010,02-Apr,236632,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1072 CC,Netherlands,Apartment,Entire home/apt,4,1,1,2,Real Bed,100,2,20,4,within a few hours,1,39,96,10,10,10,10,10,9
77484,Annelies,2010,02-Apr,999908,Oud-Oost,Amsterdam,North Holland,1092,Netherlands,Apartment,Entire home/apt,4,1,1,2,Real Bed,75,2,30,5,within a few hours,1,19,87,9,9,9,10,9,9
77484,Annelies,2010,02-Apr,2821480,Centrum-West,Amsterdam,North Holland,1012,Netherlands,Apartment,Entire home/apt,4,1,1,4,Real Bed,140,2,30,3,within a few hours,1,19,96,10,9,10,10,9,9
77484,Annelies,2010,02-Apr,3414536,Westerpark,Amsterdam,North Holland,1052 EJ,Netherlands,Boat,Entire home/apt,4,1,1,1,Real Bed,160,2,30,3,within a few hours,1,13,94,10,10,10,10,9,9
77484,Annelies,2010,02-Apr,2821284,Centrum-West,Amsterdam,North Holland,1012,Netherlands,Apartment,Entire home/apt,4,1,1,2,Real Bed,120,2,30,3,within a few hours,1,24,95,10,9,10,10,10,9
78857,Am,2010,02-Aug,20818,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,Apartment,Entire home/apt,3,1,1,2,Real Bed,80,2,22,2,N/A,N/A,2,100,10,10,10,10,10,10
82145,Wim,2010,Feb-17,4069573,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1079 LM,Netherlands,Boat,Entire home/apt,10,2,5,6,Real Bed,206,4,50,3,within a few hours,1,1,40,6,4,2,8,8,6
82145,Wim,2010,Feb-17,948808,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074 JH,Netherlands,Boat,Entire home/apt,6,1,2,3,Real Bed,140,2,35,3,within a few hours,1,10,83,8,8,8,9,8,8
82145,Wim,2010,Feb-17,4374110,Westerpark,Amsterdam,North Holland,1051AL,Netherlands,Boat,Entire home/apt,6,1,2,2,Real Bed,200,4,35,3,within a few hours,1,2,90,9,10,10,9,8,8
82145,Wim,2010,Feb-17,2436846,Centrum-West,Amsterdam,North Holland,1016 HG,Netherlands,Boat,Entire home/apt,6,2,2,3,Real Bed,227,4,35,3,within a few hours,1,18,87,9,7,10,10,10,8
82145,Wim,2010,Feb-17,539036,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,Boat,Entire home/apt,4,1,2,2,Real Bed,140,2,35,3,within a few hours,1,37,88,9,9,9,9,9,9
82145,Wim,2010,Feb-17,85941,Centrum-West,Amsterdam,North Holland,1015 DT,Netherlands,Boat,Entire home/apt,4,1,1,2,Real Bed,200,2,40,3,within a few hours,1,25,95,9,9,9,9,10,9
97647,Flip,2010,Mar-23,27886,Centrum-West,Amsterdam,North Holland,1013,Netherlands,Boat,Entire home/apt,2,1,1,1,Real Bed,135,2,0,2,within a few hours,1,11,100,10,10,10,10,9,10
98829,Jelmer & Sarah,2010,Mar-25,3985308,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,1,0,4,within an hour,1,9,100,10,10,10,10,10,10
98844,Manolis,2010,Mar-25,178841,Westerpark,Amsterdam,North Holland,1052,Netherlands,Apartment,Entire home/apt,4,1.5,1,1,Real Bed,95,2,30,3,within a few hours,0.8,29,85,9,8,9,9,9,9
101455,Nazan & Patrick,2010,Mar-31,4641463,Centrum-West,Amsterdam,Noord-Holland,1016 BL,Netherlands,Apartment,Entire home/apt,4,1,2,4,Real Bed,179,2,25,2,a few days or more,0.4,11,93,9,10,10,10,10,9
106225,Jeff,2010,04-Oct,25488,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1095,Netherlands,Apartment,Entire home/apt,6,1,3,3,Real Bed,120,4,25,4,within a few hours,1,69,91,9,9,9,9,8,9
106225,Jeff,2010,04-Oct,253792,Centrum-West,Amsterdam,North Holland,1012,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,230,2,20,3,within a few hours,1,15,98,10,10,10,10,10,9
106241,Tanja,2010,04-Oct,25489,Centrum-Oost,Amsterdam,North Holland,1011,Netherlands,Apartment,Entire home/apt,4,1,2,2,Real Bed,195,2,35,2,within an hour,1,25,94,9,10,10,10,10,9
119217,Allan,2010,05-Jun,343195,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,House,Private room,2,1,1,1,Real Bed,100,2,0,2,within a few hours,1,38,88,9,7,9,10,10,9
119217,Allan,2010,05-Jun,78033,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,House,Private room,2,1,1,1,Futon,55,2,0,2,within a few hours,1,121,88,9,8,10,9,10,9
123414,Michele,2010,05-Dec,28658,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1056,Netherlands,Apartment,Private room,2,1,1,3,Real Bed,60,2,30,2,within an hour,1,218,93,9,10,10,9,9,9
123414,Michele,2010,05-Dec,2405985,Bos en Lommer,Amsterdam,North Holland,1056 GC,Netherlands,Apartment,Private room,2,1,1,1,Real Bed,60,1,0,2,within an hour,1,39,89,10,9,10,10,9,9
124245,Edwin,2010,May-13,28871,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,House,Private room,2,,1,1,Real Bed,75,1,15,2,within a few hours,1,3,100,10,10,10,10,10,9
124245,Edwin,2010,May-13,29051,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,House,Private room,1,,1,1,Real Bed,55,1,10,2,within a few hours,1,95,94,9,10,10,10,10,9
124245,Edwin,2010,May-13,83498,Centrum-West,Amsterdam,North Holland,1017,Netherlands,Bed & Breakfast,Private room,1,1,1,1,Real Bed,45,1,0,2,within a few hours,1,85,93,10,9,10,10,10,9
124912,Samy,2010,May-14,270777,Centrum-West,Amsterdam,North Holland,1016,Netherlands,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,120,1,0,3,within an hour,1,74,93,9,9,9,9,10,9
125667,Michèle,2010,May-16,29217,Zuid,Amsterdam,North Holland,1072 AW,Netherlands,Boat,Entire home/apt,4,2,2,2,Real Bed,180,2,0,1,within an hour,1,139,87,8,8,9,9,9,8
125667,Michèle,2010,May-16,4052965,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1072 AW,Netherlands,Boat,Entire home/apt,2,1,0,1,Real Bed,100,1,0,3,within an hour,1,31,90,9,9,9,9,9,8
125667,Michèle,2010,May-16,1018703,Zuid,Amsterdam,North Holland,1072 AW,Netherlands,Boat,Entire home/apt,2,1,0,1,Real Bed,100,2,45,3,within an hour,1,46,92,9,9,9,9,9,9
126790,Christopher,2010,May-17,1088859,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,0,2,within an hour,1,18,99,10,9,10,10,10,9
127233,Ingeborg,2010,May-18,29554,Centrum-West,Amsterdam,NH,1013,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,1,0,4,within a day,0.9,63,96,10,9,10,10,10,9
127233,Ingeborg,2010,May-18,4120357,Centrum-West,Amsterdam,North Holland,1013,Netherlands,Apartment,Entire home/apt,2,1,1,2,Real Bed,110,2,40,3,within a day,0.9,10,93,10,10,9,10,10,9
62341,Jurgen,2009,12-Nov,1030014,Centrum-West,Amsterdam,North Holland,1015 GN,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,69,1,0,3,within an hour,1,13,90,9,8,10,10,10,9
127938,Mirte,2010,May-19,5734245,Watergraafsmeer,Amsterdam,NH,1091TL,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,70,1,0,1,within a few hours,0.69,0,,,,,,,
131462,Riccardo,2010,May-25,30431,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,120,1,0,3,within an hour,1,5,95,10,10,10,10,10,9
133328,Francesca,2010,May-27,4549116,De Baarsjes - Oud-West,Amsterdam,North Holland,1056 DC,Netherlands,Apartment,Private room,1,1,1,1,Real Bed,40,1,0,2,within a few hours,0.96,11,96,10,10,10,10,9,9
133347,Ashly,2010,May-27,3186920,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,2,15,2,within a few hours,0.76,13,100,10,10,10,10,10,10
133488,Nienke,2010,May-27,31080,Zuid,Amsterdam,North Holland,1059,Netherlands,Apartment,Entire home/apt,4,1,3,3,Real Bed,180,4,30,4,within a few hours,0.89,13,97,10,10,10,10,9,10
133785,Martijn,2010,May-28,1819449,Centrum-West,Amsterdam,North Holland,1016 SP,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,0,0,3,within a day,1,1,97,10,10,10,10,10,8
140224,Pippa,2010,06-Jul,1362929,Centrum-West,Amsterdam,North Holland,1013,Netherlands,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,200,4,35,2,within a few hours,0.61,9,88,9,8,9,9,8,8
148238,Jeana,2010,Jun-20,34357,Westerpark,Amsterdam,North Holland,1013 WJ,Netherlands,Apartment,Entire home/apt,4,1.5,3,2,Real Bed,129,2,10,4,within a few hours,0.9,7,100,10,10,10,10,9,10
148390,Julie,2010,Jun-20,1395250,Centrum-West,Amsterdam,North Holland,1015,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,1,0,4,N/A,N/A,5,92,9,10,10,10,10,9
160130,Roy,2010,07-Jul,1039519,Centrum-West,Amsterdam,North Holland,1013,Netherlands,Apartment,Entire home/apt,4,1,1,3,Real Bed,150,2,40,2,within a day,1,9,98,10,10,10,10,10,10
164204,Julian,2010,07-Dec,38266,Centrum-West,Jordaan,NH,1015,Netherlands,Apartment,Entire home/apt,3,1,1,2,Futon,95,2,15,3,within a day,0.9,178,99,10,10,10,10,10,10
170371,Bob,2010,Jul-18,248461,Centrum-Oost,Amsterdam,North Holland,1012,Netherlands,Apartment,Entire home/apt,4,1,1,2,Real Bed,89,2,18,2,within an hour,0.97,188,91,9,9,10,10,10,9
170371,Bob,2010,Jul-18,1055452,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 KR,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,1,0,2,within an hour,0.97,30,93,9,9,9,10,9,9
170462,Liedewij,2010,Jul-18,39688,Bos en Lommer,Amsterdam,North Holland,1055,Netherlands,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,130,2,20,2,within a few hours,0.9,10,100,10,10,10,10,9,9
172464,Iris,2010,Jul-19,3717606,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1079,Netherlands,Apartment,Entire home/apt,4,1,2,2,Real Bed,120,1,0,1,N/A,N/A,2,80,9,6,8,8,8,6
178227,Tom & Anat,2010,Jul-23,41075,Bos en Lommer,Amsterdam,North Holland,1055 ZT,Netherlands,Apartment,Entire home/apt,4,1,2,2,Real Bed,67,2,15,2,within a few hours,1,31,93,10,8,9,9,8,9
178294,Minee,2010,Jul-23,3749010,IJburg - Zeeburgereiland,Amsterdam,North Holland,1086,Netherlands,House,Entire home/apt,4,1.5,2,4,Real Bed,275,4,45,3,within an hour,1,3,90,10,10,10,9,9,8
178515,Fatih,2010,Jul-23,61777,Centrum-West,Jordaan,North Holland,1015,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,76,1,0,4,within a day,1,58,92,9,9,9,10,10,9
179958,Karen,2010,Jul-25,1758862,De Pijp - Rivierenbuurt,Amsterdam,NH,1073CH,Netherlands,Apartment,Entire home/apt,4,1,2,6,Real Bed,89,2,25,4,within a few hours,1,37,94,9,10,10,10,10,9
179958,Karen,2010,Jul-25,41321,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,Apartment,Entire home/apt,2,1,1,2,Real Bed,85,2,0,3,within a few hours,1,139,92,9,9,10,10,10,9
184354,Emiel,2010,Jul-29,42161,Watergraafsmeer,Amsterdam,North Holland,1098,Netherlands,Apartment,Entire home/apt,2,1,1,2,Real Bed,129,1,0,2,within a few hours,0.94,3,93,10,8,10,10,8,9
186729,Shawna,2010,Jul-31,82482,Centrum-West,Amsterdam,North Holland,1016,Netherlands,Apartment,Private room,4,1,1,1,Real Bed,85,2,15,1,within a day,1,297,89,9,8,9,9,10,9
187417,Bo And Cynthia,2010,08-Jan,42908,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078 GK,Netherlands,Apartment,Entire home/apt,2,1,1,2,Real Bed,125,2,0,2,within a day,0.94,8,100,10,9,10,10,8,10
187580,Monique,2010,08-Jan,42970,Centrum-West,Amsterdam,North Holland,1012,Netherlands,Bed & Breakfast,Entire home/apt,2,1,1,1,Real Bed,139,1,0,2,within an hour,1,215,97,10,10,10,10,10,9
187580,Monique,2010,08-Jan,253650,Centrum-West,Amsterdam,North Holland,1012 VS,Netherlands,Bed & Breakfast,Entire home/apt,2,1,1,1,Real Bed,139,1,0,2,within an hour,1,120,97,10,10,10,10,10,9
187580,Monique,2010,08-Jan,568110,Centrum-West,Amsterdam,North Holland,1012,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,195,1,0,4,within an hour,1,13,94,9,10,9,10,10,9
187728,Tanya,2010,08-Jan,634772,Centrum-West,Amsterdam,Noord-Holland,1015,Netherlands,House,Entire home/apt,4,1.5,1,1,Real Bed,170,2,25,2,within a few hours,0.95,1,100,10,10,10,10,10,10
187728,Tanya,2010,08-Jan,5505515,Centrum-Oost,Amsterdam,Noord-Holland,1017 HH,Netherlands,Apartment,Entire home/apt,3,1,1,1,Real Bed,130,2,50,4,within a few hours,0.97,0,,,,,,,
187728,Tanya,2010,08-Jan,44129,Centrum-West,Amsterdam,North Holland,1015 JJ,Netherlands,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,200,2,0,1,within a few hours,0.95,136,98,10,10,10,10,10,9
187728,Tanya,2010,08-Jan,1129362,Centrum-West,Amsterdam,North Holland,1012 KE,Netherlands,Bed & Breakfast,Entire home/apt,2,1.5,1,1,Real Bed,365,1,0,2,within a few hours,0.95,0,,,,,,,
187728,Tanya,2010,08-Jan,5856059,Oud-Oost,Amsterdam,Noord-Holland,1091,Netherlands,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,140,1,100,1,within a few hours,0.95,0,,,,,,,
187728,Tanya,2010,08-Jan,2517619,Centrum-Oost,Amsterdam,North Holland,1017HH,Netherlands,Apartment,Entire home/apt,2,1.5,0,1,Pull-out Sofa,120,1,0,3,within a few hours,0.95,17,96,10,10,10,10,10,9
187861,Lourent,2010,08-Jan,43054,Watergraafsmeer,Amsterdam,North Holland,1098,Netherlands,Apartment,Private room,2,2,1,2,Real Bed,74,1,0,1,within a few hours,0.92,30,84,9,8,9,10,9,9
191384,Pasquale,2010,08-Apr,4223753,Buitenveldert - Zuidas,Amsterdam,North Holland,1083 GP,Netherlands,Apartment,Private room,2,1.5,1,2,Real Bed,75,1,0,1,within a few hours,1,0,,,,,,,
191384,Pasquale,2010,08-Apr,939349,Buitenveldert - Zuidas,Amsterdam,North Holland,1083 GP,Netherlands,Apartment,Private room,2,1.5,1,1,Real Bed,75,1,15,1,within a few hours,1,2,90,9,9,9,9,9,9
191980,Koos And Sandra,2010,08-May,282108,Centrum-West,Amsterdam,North Holland,1013,Netherlands,Boat,Entire home/apt,2,1,1,1,Real Bed,129,1,0,3,within a few hours,1,76,100,10,10,10,10,10,10
193021,Hannah,2010,08-Jun,1491339,Westerpark,Amsterdam,North Holland,1051 HM,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,2,0,3,N/A,N/A,3,93,9,10,9,9,9,9
193099,Wende,2010,08-Jun,685539,Oud-Oost,Amsterdam,North Holland,1074,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,275,1,0,3,within a few hours,1,0,,,,,,,
193227,Emily,2010,08-Jun,2394430,Westerpark,Amsterdam,North Holland,1015 XS,Netherlands,Boat,Entire home/apt,4,1,1,2,Real Bed,200,1,0,5,N/A,N/A,4,97,10,10,10,10,9,10
195126,Babette,2010,08-Aug,1913383,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,185,1,0,1,within a day,0.76,4,90,10,9,10,10,10,8
195126,Babette,2010,08-Aug,1913383,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,185,1,0,1,within a day,0.76,4,90,10,9,10,10,10,8
195859,Gianni,2010,08-Sep,771758,Slotervaart,Amsterdam,North Holland,1062 GR,Netherlands,Bed & Breakfast,Private room,2,,1,1,Real Bed,55,1,0,2,within an hour,0.97,24,84,8,10,9,9,8,8
197355,Pieter-Bas & Sophie,2010,08-Oct,44805,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1095 ER,Netherlands,Apartment,Private room,3,1,1,2,Real Bed,85,2,38,3,within a few hours,0.9,103,90,9,8,9,9,8,9
198036,Rebeca,2010,08-Nov,5421998,Centrum-West,Amsterdam,Noord-Holland,1013 BX,Netherlands,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,145,3,20,1,within a few hours,0.9,2,90,10,9,10,10,9,9
199266,Anne,2010,08-Dec,45125,Centrum-Oost,Amsterdam,North Holland,1011,Netherlands,Apartment,Entire home/apt,2,1,1,2,Real Bed,135,1,0,3,within a day,1,57,98,10,10,10,10,10,9
